time,perimeter,area,overl,location,diameter profile (pixels),Height (pixel intensity),length (pixels)
3301940,,,,,,,
3302004,,,,,,,
3302013,,,,,,,
3302022,,,,,,,
3302032,,,,,,,
3302040,,,,,,,
3302137,,,,,,,
3302146,,,,,,,
3302155,,,,,,,
3302213,,,,,,,
3302221,,,,,,,
3302230,,,,,,,
3302239,,,,,,,
3302248,,,,,,,
3302258,,,,,,,
3302307,,,,,,,
3302325,,,,,,,
3302334,,,,,,,
3302343,,,,,,,
3310009,,,,,,,
3310036,,,,,,,
3310044,,,,,,,
3310053,,,,,,,
3310102,,,,,,,
3310111,,,,,,,
3310120,,,,,,,
3310138,,,,,,,
3310147,244.71067690849304,2766.0,45.0,[337  80],"[57.35066379532265, 57.61832875394163, 57.06890467022623, 57.22909435721064, 57.34160084947102, 57.402370460839514, 56.62791208640188, 56.60635186129561, 56.65969852807426, 56.73290697155791, 57.547810287431204, 57.70750392333862, 57.20777633520911, 58.10136283199475, 59.280447264258484, 58.23847738670791, 58.768523988194616, 59.726365372157474, 59.54776923302354, 61.503749036358386, 62.539732146886124, 62.92195417809134, 63.79004438160689, 65.59550146554693, 67.78325824784386, 69.96153456490262, 71.06809159544315, 67.93317989591614, 66.4697919986711, 65.15765654314666, 64.64584662931645, 63.61465077785299, 63.335055818782934, 64.46242995801647, 65.2949497133545, 67.22040642981469, 70.23993795881255, 71.91952886436978, 72.09669348983252, 70.3906037444677, 70.09915627467802, 69.60736367313949, 69.09382329329276, 68.59040130510238, 68.4101095878128, 68.58522415123403, 68.12564291458904, 68.05817125310246, 68.01641636453026, 68.00016713971918, 68.0254963876885, 68.08686198794994, 68.50593241164896, 68.00653135844298, 68.06230822014275, 70.01968894021523, 66.48031579937103, 55.4729573923868, 58.681384565043956, 57.52923572514177, 55.70020809380357, 55.05897256481267, 55.76898201242562, 56.52286211714398, 55.75011936644962, 51.65670626715705, 48.025228704078344, 45.78213162539171, 43.67433761551524, 45.40999336992195, 55.359553531217315]","[759.2526189113809, 828.2004650998526, 811.7083031692946, 808.8338797414505, 807.8431372549019, 806.9432304320868, 793.3540254969447, 792.952084775892, 734.2759783011984, 633.5550637932413, 588.2352941176471, 588.2352941176471, 588.2352941176471, 588.2352941176471, 588.2352941176471, 652.8005220720836, 743.4090942478294, 767.3070970604431, 766.6666666666666, 765.5387519325677, 764.7058823529411, 761.374837394968, 760.7843137254902, 760.7843137254902, 760.7843137254902, 760.0069678827493, 760.2490259021168, 757.347011798523, 755.9295182476349, 753.575606699836, 750.6152915691201, 749.0568126927326, 748.457448426238, 745.5040378346478, 647.9792755856627, 588.2352941176471, 612.215248547828, 710.4891002641504, 711.3183807073231, 694.8853251622807, 667.2452846427203, 631.3106949930786, 645.1959748773595, 616.5589151892364, 591.6309236381676, 583.1930169973481, 588.2352941176471, 588.2352941176471, 588.2352941176471, 576.3174107975153, 424.9632724599892, 406.97111652807746, 271.730135101409, 609.1678233002418, 751.6045176047883, 736.6105904369373, 724.0319041475118, 710.9072678846339, 708.396989433398, 705.1135519744472, 699.762083599816, 694.6918286974901, 686.0779452074541, 674.9954956349035, 655.2260581398853, 614.6271876261666, 579.2450191376223, 484.94487487786176, 415.21099245799536, 399.4825625909115, 218.11803927558844]",33.97056274847714
3310156,,,,,,,
3310205,,,,,,,
3310214,,,,,,,
3310223,,,,,,,
3310240,,,,,,,
3310249,,,,,,,
3310258,,,,,,,
3310307,,,,,,,
3310316,,,,,,,
3310325,,,,,,,
3310334,,,,,,,
3310343,,,,,,,
3310351,,,,,,,
3310400,,,,,,,
3310409,,,,,,,
3310418,,,,,,,
3310427,,,,,,,
3310436,,,,,,,
3310445,,,,,,,
3310454,,,,,,,
